, MEDVEDYEV AND OTHERS v. FRANCE, AL-SKEINI AND OTHERS V. THE UNITED KINGDOM,CASE OF HIRSI JAMAA AND OTHERS v. ITALY, H.F. AND OTHERS v. FRANCE, SANCHEZ-SANCHEZ v. THE UNITED KINGDOM, MARKOVIC AND OTHERS v. ITALY, A. AND OTHERS v. THE UNITED KINGDOM, AL-ADSANI v. THE UNITED KINGDOM, ILASCU AND OTHERS v. MOLDOVA AND RUSSIA, GUZELYURTLU AND OTHERS v. CYPRUS AND TURKEY, N.D. AND N.T. v. SPAIN, CATAN AND OTHERS v. THE REPUBLIC OF MOLDOVA AND RUSSIA, EL-MASRI v. THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, JALOUD v. THE NETHERLANDS, CHIRAGOV AND OTHERS v. ARMENIA, SARGSYAN v. AZERBAIJAN, MOZER v. THE REPUBLIC OF MOLDOVA AND RUSSIA, F.G. v. SWEDEN,AL-DULIMI AND MONTANA MANAGEMENT INC. v. SWITZERLAND,VEREIN KLIMASENIORINNEN SCHWEIZ AND OTHERS v. SWITZERLAND,LOIZIDOU v. TURKEY (PRELIMINARY OBJECTIONS), PARADISO AND CAMPANELLI v. ITALY,NAIT-LIMAN v. SWITZERLAND,GEORGIA v. RUSSIA (II), HANAN v. GERMANY
 MEDVEDYEV AND OTHERS v. FRANCE,1.0,0.28813614712778907,0.7988611356881962,0.3100084370385994,0.8203609569556498,0.9185916491668258,0.24545530469641713,0.5868752125127508,0.21600548787583682,0.3968068229125646,0.2879873946835608,0.4491638753390985,0.33718317669442505,0.270132416349475,0.3778687295090749,0.46799644331196666,0.6999225529717815,0.5215237419221271,0.27177329881656803,0.1143712128334895,0.6685275447744276,0.6248780747335378,0.4498431402555666,0.6990132043995815,0.3862404310543089
 AL-SKEINI AND OTHERS V. THE UNITED KINGDOM,0.28813614712778907,1.0,0.3596162959815665,0.9248524761190624,0.3496261796788822,0.28655472484373085,0.847240158300354,0.16934264820035136,0.7474413169952834,0.7228864566852072,0.9411247106573232,0.640641588945331,0.8479864514973375,0.9257637931953316,0.7573668988553506,0.6136406297181938,0.41098665882372165,0.5521027350259778,0.9249183231046381,0.3966952062011081,0.19283408914491154,0.4603750459615149,0.6391346938775511,0.20250475871477938,0.7454502385153238
CASE OF HIRSI JAMAA AND OTHERS v. ITALY,0.7988611356881962,0.3596162959815665,1.0,0.3868166637370364,0.9125280923632838,0.7838404800036091,0.30633239138605456,0.4699484571195023,0.2695855639539869,0.4952625301015011,0.35933672969530717,0.5606195704786895,0.4208508237633987,0.3370938835531455,0.4716043032874716,0.5841175455595227,0.8676156160912258,0.650949535585399,0.3391068511726816,0.14269503730048858,0.5357167192858927,0.778636371692395,0.5611068604947718,0.5606476337331913,0.4820538657846026
 H.F. AND OTHERS v. FRANCE,0.3100084370385994,0.9248524761190624,0.3868166637370364,1.0,0.3760711554856344,0.3082176129372473,0.7907960268217357,0.18215136360839873,0.6958411380859686,0.7752275494739425,0.919526502226122,0.688449447673908,0.9028862242052426,0.8683667227404802,0.8109812083001775,0.6592673831980698,0.44206789282670017,0.5940067665538907,0.8741757015674174,0.3688664105432087,0.20741964685926226,0.49519682894031414,0.6887482975264707,0.21801147798880324,0.800423155935596
 SANCHEZ-SANCHEZ v. THE UNITED KINGDOM,0.8203609569556498,0.3496261796788822,0.9125280923632838,0.3760711554856344,1.0,0.8130778008057192,0.2977950388373841,0.48435345532730373,0.26209595913192085,0.48150565464468575,0.3493435877339081,0.5442415909148779,0.4091335028972481,0.32771931436974405,0.4583793166257728,0.566997864239948,0.8460882667829811,0.6319049238000917,0.3296863322212548,0.13872669327359202,0.5515436210240949,0.7538657513888397,0.5454394756640272,0.5781253647717988,0.4686637458926616
 MARKOVIC AND OTHERS v. ITALY,0.9185916491668258,0.28655472484373085,0.7838404800036091,0.3082176129372473,0.8130778008057192,1.0,0.2440699908126618,0.5909609352723125,0.21480723762388368,0.39462786667566896,0.2863126097073111,0.44574709132106216,0.3353381589390042,0.26859978861265565,0.37577686340062577,0.46549504227670335,0.6950316600170706,0.5173111876228333,0.27020217585601136,0.11369722670712808,0.6723675959181347,0.6192475289616325,0.44725162606810354,0.7047201503160052,0.3838151554971529
 A. AND OTHERS v. THE UNITED KINGDOM,0.24545530469641713,0.847240158300354,0.30633239138605456,0.7907960268217357,0.2977950388373841,0.2440699908126618,1.0,0.14425118150243957,0.875710426928389,0.6152846951604949,0.8460690133518294,0.5456721069694314,0.7262758241834656,0.899411972489455,0.6463543403356674,0.5227358057652998,0.35005149760605725,0.4702108412775729,0.888118647812638,0.4658038328237815,0.16426190028745832,0.3921613664362824,0.5446388827064322,0.17244714756927532,0.6349359866406903
 AL-ADSANI v. THE UNITED KINGDOM,0.5868752125127508,0.16934264820035136,0.4699484571195023,0.18215136360839873,0.48435345532730373,0.5909609352723125,0.14425118150243957,1.0,0.12694708343286965,0.23321892758678894,0.16920577381535548,0.2639959238265079,0.19817175203908932,0.15873198229248042,0.22207815865327948,0.27510088138472977,0.41183133296240365,0.306532960612918,0.15968471418555016,0.06719275323319533,0.8648239303294206,0.36696287624824847,0.26431914703669224,0.8318783441284145,0.2269989047097481
 ILASCU AND OTHERS v. MOLDOVA AND RUSSIA,0.21600548787583682,0.7474413169952834,0.2695855639539869,0.6958411380859686,0.26209595913192085,0.21480723762388368,0.875710426928389,0.12694708343286965,1.0,0.5425589192628668,0.7487530370814641,0.48085851841869925,0.6399181994073131,0.7980173178716764,0.5696902587193119,0.46060654292570646,0.3081940905527244,0.4140518292122719,0.7908065363790806,0.5276084745872492,0.14455735435540282,0.3451184329002738,0.47930095185627275,0.15194075743747743,0.559154998591256
 GUZELYURTLU AND OTHERS v. CYPRUS AND TURKEY,0.3968068229125646,0.7228864566852072,0.4952625301015011,0.7752275494739425,0.48150565464468575,0.39462786667566896,0.6152846951604949,0.23321892758678894,0.5425589192628668,1.0,0.7206206801103938,0.8607003891050584,0.8421323277339733,0.6778379287669557,0.8991170921372208,0.8364742593193232,0.566050473115134,0.7606697197123986,0.6810720628599106,0.28735475759991186,0.26557137230630734,0.6340291453328082,0.8701115756993046,0.2791299553275045,0.9173016345990125
